Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (mnd)
Svalbard Lufthavn;SN99840;03.1940;-17,4
Svalbard Lufthavn;SN99840;04.1940;-15,2
Svalbard Lufthavn;SN99840;05.1940;-1,5
Svalbard Lufthavn;SN99840;06.1940;2,8
Svalbard Lufthavn;SN99840;07.1940;5,6
Svalbard Lufthavn;SN99840;08.1940;4
Svalbard Lufthavn;SN99840;09.1940;3
Svalbard Lufthavn;SN99840;10.1940;-4,2
Svalbard Lufthavn;SN99840;11.1940;-8
Svalbard Lufthavn;SN99840;12.1940;-10
Svalbard Lufthavn;SN99840;01.1941;-17,9
Svalbard Lufthavn;SN99840;02.1941;-16,2
Svalbard Lufthavn;SN99840;03.1941;-15,9
Svalbard Lufthavn;SN99840;04.1941;-14,7
Svalbard Lufthavn;SN99840;05.1941;-6
Svalbard Lufthavn;SN99840;06.1941;1,7
Svalbard Lufthavn;SN99840;07.1941;6,2
Svalbard Lufthavn;SN99840;08.1941;4,3
Svalbard Lufthavn;SN99840;09.1941;0,4
Svalbard Lufthavn;SN99840;10.1941;-6,8
Svalbard Lufthavn;SN99840;11.1941;-5,7
Svalbard Lufthavn;SN99840;12.1941;-10,9
